,date,entries_diff
0,01/01/2020,2475750.0
1,01/02/2020,5136600.0
2,01/03/2020,5120258.0
3,01/04/2020,2931350.0
4,01/05/2020,2396871.0
5,01/06/2020,5379701.0
6,01/07/2020,5581781.0
7,01/08/2020,5643994.0
8,01/09/2020,5646575.0
9,01/10/2020,5590112.0
10,01/11/2020,3155249.0
11,01/12/2020,2428858.0
12,01/13/2020,5370426.0
13,01/14/2020,5609839.0
14,01/15/2020,5707108.0
15,01/16/2020,5707466.0
16,01/17/2020,5485810.0
17,01/18/2020,2693977.0
18,01/19/2020,2347313.0
19,01/20/2020,3256390.0
20,01/21/2020,5438418.0
21,01/22/2020,5592276.0
22,01/23/2020,5617477.0
23,01/24/2020,5453468.0
24,01/25/2020,2711616.0
25,01/26/2020,2431548.0
26,01/27/2020,5370574.0
27,01/28/2020,5743224.0
28,01/29/2020,5803484.0
29,01/30/2020,5803733.0
30,01/31/2020,5556027.0
31,02/01/2020,2974902.0
32,02/02/2020,2314541.0
33,02/03/2020,5495069.0
34,02/04/2020,5741707.0
35,02/05/2020,5829503.0
36,02/06/2020,5798509.0
37,02/07/2020,5632952.0
38,02/08/2020,3046144.0
39,02/09/2020,2357312.0
40,02/10/2020,5470525.0
41,02/11/2020,5714056.0
42,02/12/2020,5746484.0
43,02/13/2020,5798316.0
44,02/14/2020,5619410.0
45,02/15/2020,2882560.0
46,02/16/2020,2414987.0
47,02/17/2020,3241044.0
48,02/18/2020,5252492.0
49,02/19/2020,5498884.0
50,02/20/2020,5458121.0
51,02/21/2020,5281049.0
52,02/22/2020,3019875.0
53,02/23/2020,2374088.0
54,02/24/2020,5483118.0
55,02/25/2020,5700748.0
56,02/26/2020,5741838.0
57,02/27/2020,5809899.0
58,02/28/2020,5606217.0
59,02/29/2020,2955956.0
60,03/01/2020,2296070.0
61,03/02/2020,5411090.0
62,03/03/2020,5636019.0
63,03/04/2020,5638466.0
64,03/05/2020,5632519.0
65,03/06/2020,5362385.0
66,03/07/2020,2867686.0
67,03/08/2020,2096117.0
68,03/09/2020,4989237.0
69,03/10/2020,5000536.0
70,03/11/2020,4815512.0
71,03/12/2020,4335523.0
72,03/13/2020,3581342.0
73,03/14/2020,1772644.0
74,03/15/2020,1234982.0
75,03/16/2020,2254710.0
76,03/17/2020,1873651.0
77,03/18/2020,1693799.0
78,03/19/2020,1483230.0
79,03/20/2020,1360238.0
80,03/21/2020,674683.0
81,03/22/2020,446956.0
82,03/23/2020,741714.0
83,03/24/2020,775550.0
84,03/25/2020,730228.0
85,03/26/2020,721562.0
86,03/27/2020,689569.0
87,03/28/2020,368398.0
88,03/29/2020,282601.0
89,03/30/2020,562340.0
90,03/31/2020,543447.0
91,04/01/2020,539415.0
92,04/02/2020,514302.0
93,04/03/2020,511399.0
94,04/04/2020,314659.0
95,04/05/2020,244701.0
96,04/06/2020,461045.0
97,04/07/2020,459688.0
98,04/08/2020,452473.0
99,04/09/2020,430607.0
100,04/10/2020,425620.0
101,04/11/2020,278966.0
102,04/12/2020,216600.0
103,04/13/2020,376888.0
104,04/14/2020,453493.0
105,04/15/2020,444991.0
106,04/16/2020,447191.0
107,04/17/2020,460648.0
108,04/18/2020,280729.0
109,04/19/2020,243249.0
110,04/20/2020,456859.0
111,04/21/2020,451509.0
112,04/22/2020,486749.0
113,04/23/2020,479488.0
114,04/24/2020,469240.0
115,04/25/2020,320622.0
116,04/26/2020,240057.0
117,04/27/2020,479871.0
118,04/28/2020,514659.0
119,04/29/2020,507855.0
120,04/30/2020,495326.0
121,05/01/2020,521263.0
122,05/02/2020,355681.0
123,05/03/2020,282148.0
124,05/04/2020,538744.0
125,05/05/2020,549526.0
126,05/06/2020,539735.0
127,05/07/2020,559896.0
128,05/08/2020,557057.0
129,05/09/2020,341790.0
130,05/10/2020,289951.0
131,05/11/2020,542557.0
132,05/12/2020,579078.0
133,05/13/2020,593769.0
134,05/14/2020,597161.0
135,05/15/2020,614793.0
136,05/16/2020,390048.0
137,05/17/2020,310868.0
138,05/18/2020,615389.0
139,05/19/2020,640385.0
140,05/20/2020,651930.0
141,05/21/2020,658685.0
142,05/22/2020,663490.0
143,05/23/2020,363093.0
144,05/24/2020,335030.0
145,05/25/2020,410515.0
146,05/26/2020,677387.0
147,05/27/2020,704437.0
148,05/28/2020,693442.0
149,05/29/2020,679076.0
150,05/30/2020,452840.0
151,05/31/2020,364967.0
152,06/01/2020,711370.0
153,06/02/2020,738606.0
154,06/03/2020,705364.0
155,06/04/2020,755025.0
156,06/05/2020,730787.0
157,06/06/2020,478981.0
158,06/07/2020,387864.0
159,06/08/2020,819530.0
160,06/09/2020,865952.0
161,06/10/2020,884703.0
162,06/11/2020,847596.0
163,06/12/2020,914933.0
164,06/13/2020,565236.0
165,06/14/2020,454924.0
166,06/15/2020,915032.0
167,06/16/2020,954447.0
168,06/17/2020,976714.0
169,06/18/2020,963886.0
170,06/19/2020,996220.0
171,12/28/2019,2938651.0
172,12/29/2019,2676476.0
173,12/30/2019,4432002.0
174,12/31/2019,4186188.0
